mysitename,lon,lat,elv,year_start,year_end,years_data,classid,whc,c4
AR-SLu,-66.4598,-33.4648,887,2009,2011,3,MF,268.4240112,NA
AR-Vir,-56.1886,-28.2395,74,2009,2012,4,ENF,302.4275513,NA
AT-Neu,11.3175,47.1167,970,2002,2012,11,GRA,270.0856323,FALSE
AU-Ade,131.1178,-13.0769,188,2007,2009,3,WSA,269.2186584,NA
AU-ASM,133.249,-22.283,615,2010,2013,4,ENF,214.5842743,NA
AU-Cpr,140.5891,-34.0021,51,2010,2014,5,SAV,217.3112488,NA
AU-Cum,150.7225,-33.6133,107,2012,2014,3,EBF,310.8674011,NA
AU-DaP,131.3181,-14.0633,160,2007,2013,7,GRA,294.6303406,NA
AU-DaS,131.3881,-14.1593,160,2008,2014,7,SAV,249.2509155,NA
AU-Dry,132.3706,-15.2588,204,2008,2014,7,SAV,239.1561279,NA
AU-Emr,148.4746,-23.8587,220,2011,2013,3,GRA,212.9327698,NA
AU-Fog,131.3072,-12.5452,90,2006,2008,3,WET,321.4286194,NA
AU-Gin,115.7138,-31.3764,127,2011,2014,4,WSA,194.4478455,NA
AU-GWW,120.6541,-30.1913,511,2013,2014,2,SAV,183.3797455,NA
AU-How,131.1523,-12.4943,6,2001,2014,14,WSA,307.5285645,TRUE
AU-Lox,140.6551,-34.4704,51,2008,2009,2,DBF,248.4138031,NA
AU-RDF,132.4776,-14.5636,187,2011,2013,3,WSA,290.0407715,NA
AU-Rig,145.5759,-36.6499,278,2011,2014,4,GRA,251.4349823,NA
AU-Rob,145.6301,-17.1175,492,2014,2014,1,EBF,265.1673584,NA
AU-Stp,133.3502,-17.1507,240,2008,2014,7,GRA,283.4158936,NA
AU-TTE,133.64,-22.287,609,2012,2013,2,OSH,217.1057587,NA
AU-Tum,148.1517,-35.6566,817,2001,2014,14,EBF,248.4827576,NA
AU-Wac,145.1878,-37.4259,309,2005,2008,4,EBF,163.752243,NA
AU-Whr,145.0294,-36.6732,164,2011,2014,4,EBF,271.4973755,NA
AU-Wom,144.0944,-37.4222,705,2010,2012,3,EBF,189.5709991,NA
AU-Ync,146.2907,-34.9893,133,2012,2014,3,GRA,199.1587524,NA
BE-Bra,4.5206,51.3092,16,1996,2014,19,MF,85.68379974,NA
BE-Lon,4.7461,50.5516,167,2004,2014,11,CRO,383.6510925,FALSE
BE-Vie,5.9981,50.3051,493,1996,2014,19,MF,312.7651978,NA
BR-Sa3,-54.9714,-3.018,100,2000,2004,5,EBF,207.0645142,NA
CA-Man,-98.4808,55.8796,259,1994,2008,15,ENF,52.677845,NA
CA-NS1,-98.4839,55.8792,260,2001,2005,5,ENF,50.25987625,NA
CA-NS2,-98.5247,55.9058,260,2001,2005,5,ENF,59.02733231,NA
CA-NS3,-98.3822,55.9117,260,2001,2005,5,ENF,115.962883,NA
CA-NS4,-98.3822,55.9117,260,2002,2005,4,ENF,115.962883,NA
CA-NS5,-98.485,55.8631,260,2001,2005,5,ENF,32.74040222,NA
CA-NS6,-98.9644,55.9167,244,2001,2005,5,OSH,28.60806847,NA
CA-NS7,-99.9483,56.6358,297,2002,2005,4,OSH,90.78813171,NA
CA-Qfo,-74.3421,49.6925,382,2003,2010,8,ENF,176.8255615,NA
CA-SF1,-105.8176,54.485,536,2003,2006,4,ENF,265.995575,NA
CA-SF2,-105.8775,54.2539,520,2001,2005,5,ENF,286.6593018,NA
CA-SF3,-106.0053,54.0916,540,2001,2006,6,OSH,272.6809082,NA
CH-Cha,8.4104,47.2102,393,2005,2014,10,GRA,343.0929565,NA
CH-Dav,9.8559,46.8153,1639,1997,2014,18,ENF,171.5249176,NA
CH-Fru,8.5378,47.1158,982,2005,2014,10,GRA,285.3380432,NA
CH-Lae,8.365,47.4781,689,2004,2014,11,MF,292.4555054,NA
